Business ID,Name,Address,Coordinates,Number of Reviews,Rating,Zip Code
g512kssHLLTdDbUJHTmJFw,Stick To My Pot Potsticker,224 W 35th St,"{'latitude': 40.75202, 'longitude': -73.99121}",241,4.5,10001
2J3--ZI6CcoYLWSYYVdt7Q,Milu,333 Park Ave S,"{'latitude': 40.741084, 'longitude': -73.985324}",186,4.5,10010
2wVirrAVg3ltAFHoHeXHMQ,Dim Sum Palace,59 2nd Ave,"{'latitude': 40.7259, 'longitude': -73.98986}",355,4.5,10003
4DInnPhOyvXFbYpUdO0SMQ,Antidote,66 S 2nd St,"{'latitude': 40.714253413118925, 'longitude': -73.96544806659222}",305,4.5,11249
f_vDVYSk-VUnlGTvgtBwkQ,Noodlecraft,10-39 47th Rd,"{'latitude': 40.74471, 'longitude': -73.95182}",134,4.5,11101
l1nX-f46dmOEmYPoiuLSaw,Peking Duck House,236 E 53rd St,"{'latitude': 40.756912, 'longitude': -73.968109}",511,3.5,10022
0GftSP2dRwEzujkv2VKIgA,Wok Wok Southeast Asian Kitchen,11 Mott St,"{'latitude': 40.7140555, 'longitude': -73.9988387116394}",1156,4.0,10013
ojbH3wnRu050hRhkmoxRiA,Han Dynasty,215 W 85th St,"{'latitude': 40.78752, 'longitude': -73.97647}",695,4.0,10024
L37A2JWXfwR_PgKColA8xA,Big Wong,67 Mott St,"{'latitude': 40.71627244103162, 'longitude': -73.99827844267524}",1550,3.5,10013
ePVlFbTzdVQFWie__kdplg,Main Noodle House,1011 6th Ave,"{'latitude': 40.752143, 'longitude': -73.986396}",468,3.5,10018
zubN8Ve-RyoljRZV4NRxEQ,Wo Hop,17 Mott St,"{'latitude': 40.7142239034582, 'longitude': -73.9988691693115}",1653,3.5,10013
Ej-hrhc8HFWfijN4X5akOg,Dim Sum Palace,33 W 33rd St,"{'latitude': 40.7486498128575, 'longitude': -73.98684828079797}",213,4.0,10001
6YehBdKHcLDsvaewhcEjFQ,Hey Yuet,251 W 26th St,"{'latitude': 40.74703, 'longitude': -73.99645}",181,4.5,10001
lQ8Fzgji9qmgRXkFcvAsVQ,Chong Qing Xiao Mian,796 9th Ave,"{'latitude': 40.76513, 'longitude': -73.98753}",341,4.0,10019
hNFe8WhCibrqT4sFcZmAgw,Kong Sihk Tong 港食堂,65 Bayard St,"{'latitude': 40.715433714742154, 'longitude': -73.9981186386701}",639,4.0,10013
rYw5rQbWRX9buZHZbxqWdA,Congee Village,100 Allen St,"{'latitude': 40.7187, 'longitude': -73.99031}",1740,3.5,10002
yFub1BhKEP-W-_ZM3_nJoQ,Bodhi Kosher Vegetarian Restaurant,77 Mulberry St,"{'latitude': 40.71641, 'longitude': -73.99931}",514,4.5,10013
Ece_DRuD1yQjRPJBAebRpw,Kung Fu Little Steamed Buns Ramen,146 E 55th St,"{'latitude': 40.7592514705491, 'longitude': -73.9694294705987}",376,3.5,10022
SMImQM_JfZkIZwflTgOAoQ,Yi Ji Shi Mo Noodle Corp,88 Elizabeth St,"{'latitude': 40.71824, 'longitude': -73.99583}",260,4.5,10013
