Business ID,Name,Address,Coordinates,Number of Reviews,Rating,Zip Code
xrnk8mgoV7up6fauVmugpw,Jun-Men Ramen Bar,249 9th Ave,"{'latitude': 40.748209, 'longitude': -74.00047}",699,4.0,10001
mi3r8tPY-nHGfsl-9BGmBw,Sushi By Boū - NoMad,32 E 32nd St,"{'latitude': 40.745939, 'longitude': -73.983523}",311,4.5,10016
JUPxlDVMxuRSsqMcH6RCVg,Mitsuwa Marketplace,595 River Rd,"{'latitude': 40.8158107608922, 'longitude': -73.9801246070119}",1854,4.5,07020
bHGETjP_InKy0sIVHFgHyw,Sushi of Gari,402 East 78th St,"{'latitude': 40.771269, 'longitude': -73.952835}",636,4.0,10075
X83qWL5WPR-QWGXGQ8WP-Q,NR,339 E 75th St,"{'latitude': 40.770153, 'longitude': -73.954956}",289,4.5,10021
Pr-q47vsmM4aoc2t_Sfk8w,Momofuku Noodle Bar - Uptown,"10 Columbus Cir, Third Floor","{'latitude': 40.76802583631109, 'longitude': -73.9829243}",515,4.0,10019
raelHbSJ_gTo701c-KyXWg,Minca,536 E 5th St,"{'latitude': 40.72412, 'longitude': -73.98288}",1717,4.0,10009
i8ejDDR4COtukAAA1Ls5fw,Soba-ya,229 E 9th St,"{'latitude': 40.72965, 'longitude': -73.9878899}",1542,4.0,10003
EvAJBgBdgOt1jx1EufRN7w,Jin Ramen Upper West Side,462 Amsterdam Ave,"{'latitude': 40.7854, 'longitude': -73.97709}",1063,4.0,10024
DdoubmNfPNRi9xNmcQ64ug,Tsurutontan Udon Noodle Brasserie - Midtown,64 W 48th St,"{'latitude': 40.75830659999292, 'longitude': -73.98080074109362}",673,3.5,10036
pNe8ZCkGTe4cXfKdOF7kYQ,Ise Restaurant,63 Cooper Sq,"{'latitude': 40.7291024, 'longitude': -73.9900618}",610,4.5,10003
axqp3pGJXnTLgq2QrPyDyQ,Benemon,108 E 4th St,"{'latitude': 40.72551, 'longitude': -73.98838}",696,4.5,10003
15R8rx9SHKNVYBwgAuTyGA,Sushi Ginza Onodera,461 5th Ave,"{'latitude': 40.7523399, 'longitude': -73.98151}",236,4.5,10017
NRJq2BNcbjqAyxUB_bw7gw,Momoya,185 7th Ave,"{'latitude': 40.7426255196333, 'longitude': -73.9966481924057}",796,4.0,10011
0uyNyorc1m-W0R4zd-wvhQ,Beard Papa's,239 E 53rd St,"{'latitude': 40.75714, 'longitude': -73.96782}",173,4.5,10022
m6sYBuozGY1JhnHlBf1Bzg,BondST,6 Bond St,"{'latitude': 40.726934, 'longitude': -73.994404}",1113,4.0,10012
_IkMfWpOkQXRZtJAYJUJIw,Hama Japanese Cuisine,11 W 51st St,"{'latitude': 40.7597846984863, 'longitude': -73.9776382446289}",414,4.0,10019
Bm_OeNNmJ6Q8FXUDzGzfHw,K Minamoto,509 Madison Ave,"{'latitude': 40.759536, 'longitude': -73.9742545}",167,4.5,10022
0vSAR3Ym2fuehBvHSZyqIQ,Koi Restaurant,40 W 40th St,"{'latitude': 40.75306524578346, 'longitude': -73.98408130671038}",824,3.5,10018
00mykkev3tKCjTsKV60yOA,Sushi of Gari 46,347 W 46th St,"{'latitude': 40.76072, 'longitude': -73.98957}",715,4.0,10036
