Business ID,Name,Address,Coordinates,Number of Reviews,Rating,Zip Code
B6bEkY9sJ_GU2pD2Rwb4gg,El Mitote,208 Columbus Ave,"{'latitude': 40.77578, 'longitude': -73.98021}",599,3.5,10023
6rM-N1SBbKPC7DWZNg5awQ,Los Portales,2508 Broadway,"{'latitude': 40.7631768211379, 'longitude': -73.9282260153443}",315,4.0,11105
SXWnyFNLCehVlJPRxk7gAg,Anejo Tribeca,301 Church St,"{'latitude': 40.71931499731559, 'longitude': -74.00427174111186}",639,4.0,10013
HKBJGt04_ZSdiIWA_6J8kQ,Tortaria,94 University Pl,"{'latitude': 40.73387, 'longitude': -73.9930481239834}",801,3.5,10003
0o0s6bUIuy0LTGNR3xYzzw,Dos Toros Taqueria,1111 Lexington Ave,"{'latitude': 40.7739509, 'longitude': -73.9594762}",404,3.5,10075
RyEd54MOTc5OcYtOiDt11g,Iguana Restaurant & Dance Lounge,240 W 54th St,"{'latitude': 40.7642063, 'longitude': -73.9832105}",941,3.0,10019
4ttqjZMCsfz6X0kQ_KR0xQ,Orale Mexican Kitchen,341 Grove St,"{'latitude': 40.720536, 'longitude': -74.042976}",1292,4.0,07302
SSDOkx5enfRH3nsniS_2jA,5ive Spice,52 5th Ave,"{'latitude': 40.681442, 'longitude': -73.977241}",897,4.5,11217
VThwGCuC6JVaxAgnmuJDRg,Cilantro,485 Columbus Ave,"{'latitude': 40.784629, 'longitude': -73.973121}",486,3.5,10024
pG-IkylRFOb-HlaD8NwvvQ,La Loteria,29 7th Ave S,"{'latitude': 40.7307865530978, 'longitude': -74.0041882564488}",359,4.0,10014
XYyIWs-3J4bZRZDfcsMquQ,Rancho Tequileria,741 9th Ave,"{'latitude': 40.763717, 'longitude': -73.989189}",359,3.5,10019
v8tuFxvNkKdZytWTn9BhMA,Fonda Chelsea,189 9th Ave,"{'latitude': 40.7455185879981, 'longitude': -74.0021848849335}",426,3.5,10011
UH_aksIxzGPPyhWZJbTP7A,Cantina Taqueria & Tequila Bar,1838 7th Ave,"{'latitude': 40.800338992692026, 'longitude': -73.95497594715312}",565,4.0,10026
trOfIBnEr_CxZuLRyGj9FQ,Miti Miti,138 5th Ave,"{'latitude': 40.6786672454389, 'longitude': -73.9791200818081}",1505,4.0,11217
1Ylu26XW3F6gSJWdFw6-8g,Great Burrito,100 W 23rd St,"{'latitude': 40.7428322, 'longitude': -73.9930115}",265,4.0,10011
4wVaJsvTuBTXAMzkhjwccg,Overlook,225 E 44th St,"{'latitude': 40.751771, 'longitude': -73.972199}",285,3.5,10017
zxdsVR_hHUzhBFfus4yd7A,Dos Caminos,675 Hudson St,"{'latitude': 40.7404330511257, 'longitude': -74.0054753422738}",1184,3.0,10014
R5jpETY0OshPn-AeJjs0fA,Dos Caminos,475 W Broadway,"{'latitude': 40.7266452, 'longitude': -73.9999024}",1240,3.5,10012
Ahx8GsuAGUl8TgqCWP7uXw,Temerario,198 8th Ave,"{'latitude': 40.7434133400872, 'longitude': -73.9996277220286}",367,4.0,10011
3DNtS1_3gobrYQBAwDx4DA,Calexico - Greenpoint,645 Manhattan Ave,"{'latitude': 40.72416, 'longitude': -73.95132}",753,3.5,11222
95a04LtXLX6gePhPEwff9A,Amaranto Mexican Restaurant,887 Hart St,"{'latitude': 40.703111, 'longitude': -73.921892}",391,4.5,11237
98Bm2w9RzNJQZo4U3jSgQQ,Tacos Times Square,134 E 27th St,"{'latitude': 40.7417320336149, 'longitude': -73.9823354903991}",148,4.0,10016
